
Protocol    Address         Age(min)  Hardware Address    Interface      VLAN             CPU
---------------------------------------------------------------------------------------------
Internet    192.168.0.1          13   bc:24:11:86:d4:20   Te 1/37        Vl 20            CP
Internet    192.168.0.3           -   14:18:77:8d:04:92        -         Vl 20            CP
Internet    192.168.0.4           0   ec:13:db:c5:c9:41   Po 1           Vl 20            CP
Internet    192.168.0.10          1   f8:f2:1e:44:17:b0   Te 1/38        Vl 20            CP
Internet    192.168.0.20        193   b8:ce:f6:56:9b:62   Po 3           Vl 20            CP
Internet    192.168.0.100        41   bc:24:11:c5:a5:2e   Po 3           Vl 20            CP
Internet    192.168.0.102         0   00:d0:b7:bb:32:d7   Te 1/38        Vl 20            CP
Internet    192.168.0.108        25   bc:24:11:95:24:21   Te 1/37        Vl 20            CP
Internet    192.168.0.118       214   bc:24:11:ab:cc:b3   Po 3           Vl 20            CP
Internet    192.168.0.121         0   bc:24:11:68:d7:29   Po 3           Vl 20            CP
Internet    192.168.0.122       186   bc:24:11:b5:1c:07   Po 3           Vl 20            CP
Internet    192.168.0.124       196   bc:24:11:eb:e1:c9   Po 2           Vl 20            CP
Internet    192.168.0.125         4   bc:24:11:87:27:69   Po 2           Vl 20            CP
Internet    192.168.0.127         7   bc:24:11:1f:05:d6   Po 3           Vl 20            CP
Internet    192.168.0.128        80   bc:24:11:62:0d:88   Po 2           Vl 20            CP
Internet    192.168.0.129         5   bc:24:11:4d:e1:af   Po 2           Vl 20            CP
Internet    192.168.0.130        92   bc:24:11:4c:76:59   Po 2           Vl 20            CP
Internet    192.168.0.131         0   bc:24:11:57:9a:de   Po 3           Vl 20            CP
Internet    192.168.0.135         0   bc:24:11:d2:ce:8e   Po 3           Vl 20            CP
Internet    192.168.0.140         0   bc:24:11:76:a5:49   Po 3           Vl 20            CP
Internet    192.168.0.142       157   bc:24:11:ad:c1:0c   Po 3           Vl 20            CP
Internet    192.168.0.143         5   bc:24:11:7c:f3:25   Po 3           Vl 20            CP
Internet    192.168.0.144       184   bc:24:11:b6:28:9b   Po 3           Vl 20            CP
Internet    192.168.0.145       188   bc:24:11:23:0e:9b   Po 3           Vl 20            CP
Internet    192.168.0.151        41   bc:24:11:5a:d7:70   Po 2           Vl 20            CP
Internet    192.168.0.152        16   bc:24:11:5a:1b:ce   Po 3           Vl 20            CP
